Flight Type;Fl No.;Origin;ETA;Reg. No.;Fl No.;Dest;ETD;AC Type;Class;Pax
Full;TM4460;APL;15.00;;TM4461;APL;16.25;E90;C;96
Full;BA065;LHR;20.50;;BA064;LHR;23.25;772;G;302
Arr;KQ485;DAR;19.33;KYR;;LLW;20.73;E90;C;96
Full;ET302;ADD;10.33;ETALK;ET303;ADD;11.58;738;D;162
Dep;;HAH;22.48;KYT;;;23.98;E90;C;96
Park;;LUN;22.17;FFD;;MPM;24.00;E90;C;0.0
Full;WB450;EBB;10.67;9XRWJ;WB450;KGL;11.42;737;D;126
Park;;JNB;0.17;;;JNB;6.90;320;D;0.0
Park;;ADD;1.17;ETAPF;;ADD;4.40;738;D;0.0
Arr;KQ503;ACC;22.00;KYF;;TNR;23.40;738;D;162
Arr;KQ487;DAR;22.25;KYQ;;JRO;23.65;E90;C;96
Dep;;CAN;12.08;;CZ634;CAN;13.58;330;F;268
Dep;;LUN;10.67;FFD;KQ740;MPM;12.17;E90;C;96
Full;KQ8655;KIS;19.67;BWG;;;23.98;AT7;A;72
Full;EK721;DXB;19.00;;EK722;DUB;22.83;773;G;385
Dep;;EDL;8.00;QUE;KQ8690;UKU;9.50;AT7;A;72
Arr;KQ331;JED;6.92;FFE;;LUN;8.32;E90;C;96
Full;KQ780;HRE;22.00;KYQ;;;23.98;E90;C;96
Park;;ACC;23.50;KYF;;TNR;24.00;738;D;0.0
Full;KQ640D.;MBA;13.75;FFJ;KQ484;DAR;15.92;E90;C;96
Park;;ADD;13.83;ETAQO;;ADD;15.98;738;D;0.0
Full;KQ607;MBA;15.75;FFK;KQ414;EBB;16.67;E90;C;96
Park;;COO;22.42;CYA;;LOS;24.00;738;D;0.0
Full;KQ8611;MBA;22.67;BWG;;;23.98;AT7;A;72
Full;KQ657;KIS;15.42;FFG;KQ642;MYD;16.50;E90;C;96
Full;PW725;JRO;19.33;PWC;;;23.98;AT7;A;72
Arr;KQ417;EBB;22.25;KYS;;DAR;23.65;E90;C;96
Full;KQ8691;UKU;11.50;QHW;KQ8652;KIS;12.00;AT7;A;72
Full;MK534;MRU;11.83;;MK535;MRU;13.08;332;F;233
Full;TM4460;APL;15.00;;TM4461;APL;16.25;E90;C;96
Full;BA065;LHR;20.50;;BA064;LHR;23.25;772;G;302
Full;KQ611;MBA;19.17;KYS;KQ618;MBA;19.92;E90;C;96
Dep;;ADD;4.50;;ET309;ADD;6.00;738;D;162
Full;TK6510;FIH;18.50;;TK6492;IST;21.00;330;F;268
Full;KQ353;JUB;18.17;FFF;KQ616;MBA;18.92;E90;C;96
Park;;JRO;20.83;PWA;;ZNZ;24.00;AT7;A;0.0
Full;KQ765;JNB;6.92;CYB;KQ502;ACC;9.00;738;D;162
Full;KQ417;EBB;22.25;KYR;;;23.98;E90;C;96
Park;;HAH;19.17;KYT;;;22.38;E90;C;0.0
Full;KQ8655.;KIS;7.83;BWG;KQ8602;MBA;8.83;AT7;A;72
Full;KQ499;ZNZ;7.00;KYR;KQ494;ZNZ;8.00;E90;C;96
Arr;KQ503;ACC;22.00;KYF;;TNR;23.40;738;D;162
Dep;;TNR;6.67;FFC;KQ706;HRE;8.17;E90;C;96
Dep;;JED;10.92;FFE;KQ726;LUN;12.42;E90;C;96
Arr;KQ487;DAR;22.25;KYQ;;JRO;23.65;E90;C;96
Full;KQ522;NSI;20.50;KYE;;;23.98;738;D;162
Full;ET302;ADD;10.33;ETALK;ET303;ADD;11.58;738;D;162
Full;KQ263;TNR;6.83;KQG;KQ512;DKR;8.17;737;D;126
Arr;KQ619;MBA;22.75;FFB;;ABV;24.00;E90;C;96
Park;;CAN;8.50;;;CAN;11.98;330;F;0.0
Park;;CAN;8.50;;;CAN;11.98;330;F;0.0
Full;KQ353;JUB;18.17;FFF;KQ616;MBA;18.92;E90;C;96
Arr;KQ444;KGL;21.25;FFF;;BJM;22.65;E90;C;96
Arr;ET304;ADD;12.33;ETAQO;;ADD;13.73;738;D;162
Park;;MBA;19.17;KQB;;;22.38;73J;E;0.0
Park;;MBA;0.25;FFB;;ABV;6.48;E90;C;0.0
Arr;KQ487;DAR;22.25;KYQ;;JRO;23.65;E90;C;96
Dep;;JRO;6.67;PWA;PW710;ZNZ;8.17;AT7;A;72
Full;KQ871;HAN;6.75;KZC;KQ210;BOM;7.83;788;F;234
Park;;MBA;13.92;KQB;;MBA;24.00;73J;E;0.0
Full;KQ771;LAD;21.25;KQF;KQ624;MBA;22.92;737;D;126
Full;SA184;JNB;15.25;;SA185;JNB;16.08;320;D;150
Park;;MBA;13.92;KQB;;MBA;24.00;73J;E;0.0
Full;KQ263;TNR;6.83;KQG;KQ512;DKR;8.17;737;D;126
Full;KQ734;LLW;6.25;FFJ;KQ640;MYD;10.00;E90;C;96
Full;KQ8681;MYD;16.33;BWG;KQ8654;KIS;17.67;AT7;A;72
Park;;EDL;20.67;QUE;;UKU;24.00;AT7;A;0.0
Park;;CAN;8.50;;;CAN;11.98;330;F;0.0
Full;QR1337;DOH;9.50;;QR1338;DOH;12.58;320;D;150
Full;KQ495;ZNZ;11.17;KYP;KQ412;EBB;12.00;E90;C;96
Full;KQ353;JUB;18.17;FFF;KQ616;MBA;18.92;E90;C;96
Park;;ABJ;7.83;KYD;;EBB;21.32;738;D;0.0
Park;;ADD;13.83;ETAQO;;ADD;15.98;738;D;0.0
Full;LX294;ZRH;18.67;;LX295;DAR;19.58;330;F;268
Full;KQ415;EBB;19.75;FFK;KQ348;KRT;22.83;E90;C;96
Full;KQ8611;MBA;22.67;BWG;;;23.98;AT7;A;72
Full;KQ603;MBA;11.17;KQH;KQ250;SEZ;11.83;737;D;126
Full;KQ8613;MBA;22.83;QUE;;;23.98;AT7;A;72
Dep;;HAH;22.48;KYT;;;23.98;E90;C;96
Arr;KQ444;KGL;21.25;FFF;;BJM;22.65;E90;C;96
Full;KQ537;ABV;19.33;FFB;KQ720;LUN;22.17;E90;C;96
